time,cpu_index
411,166.72739021699547
412,132.4119017316728
413,178.51038622697405
414,304.1948800890581
415,212.17675004952406
416,178.73634268999604
417,216.26507490283603
418,205.7711449808685
419,202.63715123487182
420,249.6610457112382
421,236.92334748452365
422,241.81847139164267
423,176.3410604077873
424,157.70427792553184
425,192.4278652017135
426,178.91991986448753
427,244.0468607730867
428,216.94772526625758
429,273.5193781271346
430,205.5950606186648
431,219.04234045062248
432,163.45970686016824
433,139.7864268303102
434,165.12991014406572
