time,cpu_index
411,169.83347142785885
412,180.37850076031182
413,219.9613105030308
414,201.66853501758365
415,197.3849841061735
416,198.17229218934483
417,187.70809174079008
418,169.0998829248703
419,203.07779297931927
420,225.70330005808924
421,208.6029358154888
422,209.54378219638815
423,197.08443842606235
424,183.7049428373594
425,182.17346544765056
426,216.98872164051278
427,243.75835281606342
428,243.98688533919258
429,226.7438891152926
430,215.7825834359688
431,189.6584673658713
432,171.85930061081723
433,208.6031637623026
434,246.27764098276697
