time,cpu_index
411,158.551113032843
412,161.50208282437868
413,241.2583825134501
414,168.60854586213952
415,219.06074246989607
416,191.85011511384388
417,156.06092104316667
418,138.0563329000344
419,220.42079857686304
420,267.7610732353698
421,221.87109838884936
422,244.94720552713133
423,225.24899356908003
424,192.69630799891706
425,212.74913339650527
426,218.61764135989486
427,184.91329859725897
428,214.20505075824713
429,227.75017260664387
430,242.19526880103032
431,248.35928200942865
432,204.06928735198798
433,161.3813636753279
434,255.06712446004616
