"Date","ARFIMA","ARIMA","ARNN","BSTS"
2021-07-01,167.4172568025,183.8729173914,181.142258900243,176.893925681497
2021-08-01,164.811699905564,186.054654296597,173.39821059623,177.497901224986
2021-09-01,163.065753117895,186.723687365236,197.860752218121,193.851109768998
2021-10-01,161.592930793587,186.928847412657,163.60593801855,191.202412539824
2021-11-01,160.25637131725,186.991760065306,165.93299401179,202.425198983143
2021-12-01,159.011108306721,187.011052329629,150.984685951234,204.362297623865
2022-01-01,157.838086809956,187.016968332961,191.842596027637,196.781059863822
2022-02-01,156.727119348165,187.018782484729,170.314870995308,199.595818218328
2022-03-01,155.671556849054,187.019338797235,185.534191492048,194.510946220572
2022-04-01,154.666391681784,187.019509391343,208.806514355767,191.437996273843
2022-05-01,153.707509505269,187.019561704296,184.613880461674,196.803056735307
2022-06-01,152.791364411861,187.019577746146,183.617223067066,199.242143026528
2022-07-01,151.914822217865,187.019582665404,174.74060198001,188.125035267044
2022-08-01,151.075075088596,187.019584173903,182.007164754187,191.025608929629
2022-09-01,150.269588518006,187.019584636486,169.66445439077,204.389882948943
2022-10-01,149.496064177747,187.019584778338,201.841299369053,197.204336074919
2022-11-01,148.752411343529,187.019584821837,197.485790160284,210.662177614909
2022-12-01,148.03672351548,187.019584835176,211.7802522149,210.702624947604
2023-01-01,147.347258567415,187.019584839267,201.759946880478,205.472244522422
2023-02-01,146.682421538569,187.019584840521,216.943058108045,209.158695961721
2023-03-01,146.040749546057,187.019584840906,213.177750919802,203.702740798279
2023-04-01,145.420898474626,187.019584841024,199.693871590221,197.488598458799
2023-05-01,144.821631193094,187.01958484106,220.06570498499,204.945718727572
2023-06-01,144.241807099572,187.019584841071,206.926138324257,208.071084897057
