time,cpu_index
411,194.14779515908765
412,177.43407136439393
413,210.94072619379835
414,153.99903827518196
415,178.6287667450871
416,188.23318109878312
417,168.2224236704587
418,179.27259733102053
419,270.3544920528958
420,251.43068017895007
421,239.3092294819924
422,248.53248769874173
423,262.82716879830275
424,195.07707284757197
425,229.56785624353373
426,233.5461847243623
427,152.04411290400728
428,231.86531204608363
429,216.98844918101446
430,228.08841363736246
431,209.4032914989581
432,209.57994998113844
433,189.94199630787412
434,234.3576438611201
