"Date","ARFIMA","ARIMA","ARNN","BSTS"
2022-07-01,201.25537482737,218.24521450864,142.418129480497,227.606750328378
2022-08-01,195.407734660128,219.128152552195,239.390305788972,226.942478831673
2022-09-01,194.488336487918,226.994818312723,178.833856019632,229.386281451253
2022-10-01,191.795267942877,227.395261214499,225.574508045048,230.067679363388
2022-11-01,189.709971357326,227.795704116275,142.226603586662,230.164209972156
2022-12-01,187.581670699446,228.196147018051,202.049451229996,233.04066523568
2023-01-01,185.640180184251,228.596589919827,187.873827656811,235.16355327996
2023-02-01,183.809759459744,228.997032821602,197.702441769112,235.33526569893
2023-03-01,182.101795351516,229.397475723378,224.239567601078,236.839673629495
2023-04-01,180.498169858736,229.797918625154,203.798843350744,237.929869679991
2023-05-01,178.990551920726,230.19836152693,246.17898623357,239.9011545899
2023-06-01,177.568821195592,230.598804428706,225.193216692234,239.053826996641
