"Date","ARFIMA","ARIMA","ARNN","BSTS"
2021-07-01,167.297887996341,177.052616193371,184.692570535708,177.392412774882
2021-08-01,164.933955277968,156.102485433764,194.488078659175,181.508883485508
2021-09-01,163.136554397614,185.435568312789,214.521331298977,197.601999608073
2021-10-01,161.66120043404,154.463232411512,190.258764626516,198.883367778266
2021-11-01,160.326548124699,148.502132395129,189.893257962969,220.236372493084
2021-12-01,159.083942642875,157.81667299167,183.919865087509,207.235660910679
2022-01-01,157.91357458227,147.039102672581,185.898125644945,202.402470428252
2022-02-01,156.805063371737,173.802155345366,170.659945714412,211.065797302563
2022-03-01,155.75171783145,158.097530126018,174.686408378917,213.460494879614
2022-04-01,154.74853510224,205.627499567758,202.310068147326,207.027358675366
2022-05-01,153.791420149528,177.256694103529,172.323907997496,209.807490232955
2022-06-01,152.876849707158,230.057955003438,182.538360756856,203.48159170656
2022-07-01,152.00171155438,173.413036089519,173.151373449145,191.127571788917
2022-08-01,151.163217794451,129.354728980542,210.167059257999,198.127447799255
2022-09-01,150.358851521736,180.700924722186,201.08844263094,212.869093426023
2022-10-01,149.58632975644,186.324459474454,187.958880123041,206.452278565301
2022-11-01,148.843575095951,207.852037704537,202.341430276867,223.292798578464
2022-12-01,148.128692592548,189.226287349367,205.410516090626,218.420592690393
2023-01-01,147.439950149361,186.243788025525,196.05786503256,212.07334100322
2023-02-01,146.775761532705,183.698891528557,194.338087255816,222.312500610312
2023-03-01,146.13467147545,186.49987828851,196.33673703657,215.695781729846
2023-04-01,145.51534252936,200.587590543788,171.364596219034,206.879722752484
2023-05-01,144.916543418885,164.820967864757,188.83220666479,217.964665047538
2023-06-01,144.337138702077,200.817752534963,185.547844183396,215.458828495286
