"Date","ARFIMA","ARIMA","ARNN","BSTS"
2022-07-01,201.074238684348,164.576816906664,151.231285342317,217.796346126584
2022-08-01,198.426266648611,158.792542247012,242.59178786765,214.074190421421
2022-09-01,196.217302614505,237.980769218697,196.713642789276,221.490354200092
2022-10-01,193.926651301897,193.692846933748,230.795418201871,216.434994461785
2022-11-01,191.755456169892,258.655334251643,247.879232255655,219.356283481733
2022-12-01,189.718918709622,212.858715220536,246.336952876292,213.476926882886
2023-01-01,187.815383942986,193.793746018856,239.685127212961,220.41487402626
2023-02-01,186.035083240158,226.72619939776,248.321096346524,215.068983557131
2023-03-01,184.366699137087,219.460162840394,231.460386901839,221.752951792906
2023-04-01,182.799259521865,201.157815813211,223.577891498581,238.414535939495
2023-05-01,181.322774403442,172.174120996759,213.328999203086,221.510291958125
2023-06-01,179.92837171236,210.924654114754,226.311573911545,220.733420715956
