time,cpu_index
411,128.4103467522676
412,87.96857709392017
413,125.44861477870194
414,105.72319895850703
415,124.45819982838653
416,111.95711335625259
417,174.87344626480987
418,194.30254098438297
419,223.5734244508513
420,275.6485021855113
421,269.4765666670018
422,269.19889524715154
423,217.34934581824766
424,219.47145240788672
425,196.86372629772777
426,225.7366816004483
427,271.22243071928983
428,330.56235171252985
429,302.5258506610504
430,271.78985140240377
431,269.70011184644574
432,284.9861279338291
433,289.4255309618128
434,290.91569401862216
