time,cpu_index
411,181.56682450150652
412,172.59406562671023
413,186.69681562839472
414,276.58320370629826
415,245.7738832535488
416,247.48844789123092
417,228.7494418906413
418,241.99406033524897
419,244.52230267189816
420,236.49779034507975
421,235.66904552651837
422,267.83356372840785
423,241.08051451841706
424,234.33841470084738
425,236.08723527316022
426,270.81576818758646
427,283.99444215696064
428,272.633029399373
429,268.43434665667723
430,260.3203005899298
431,268.2444185066937
432,264.0327098018754
433,263.34908993743073
434,271.7942824456688
