time,cpu_index
411,184.06067320009458
412,125.09143350330405
413,143.13511308445217
414,172.50687351223476
415,102.83204384814569
416,143.91309785383064
417,232.96536561645564
418,235.64614847936778
419,226.92383755958954
420,243.49507458371906
421,239.23215699485306
422,194.1442997021785
423,217.54397881208624
424,333.28858076865504
425,265.643369490517
426,243.4561550968012
427,245.23447628119487
428,330.3131589704386
429,259.53630688782727
430,274.84260975266903
431,354.2092854704953
432,371.5175443048223
433,365.7192441221714
434,404.71163630233815
