time,cpu_index
411,109.29129890496667
412,108.82393827474566
413,109.63992679053717
414,111.278949042648
415,111.42361572647428
416,111.93213270502235
417,112.10938809245062
418,112.9406334313383
419,113.6381967900602
420,114.0240290718875
421,115.43380725763956
422,115.41087608529767
423,116.23353765547542
424,116.00285726747524
425,117.45833426702286
426,116.99275592668545
427,117.94600597691553
428,118.27231347096843
429,119.40824747883191
430,119.19476035011772
431,120.06566248850007
432,119.88488511481613
433,119.92483463774532
434,120.42088777985842
