time,cpu_index
411,135.3519034455193
412,109.51451937497049
413,115.03983026338204
414,98.08088787278297
415,92.4663281268208
416,105.68930441705041
417,180.290244250791
418,209.11362103687233
419,199.12814360499328
420,183.00784768920198
421,180.28924551003263
422,133.2949523502295
423,138.8964670406082
424,289.8104117544292
425,274.4254290991555
426,305.1552451324626
427,300.66173659499486
428,278.130012536157
429,221.0509040940304
430,325.8923678677193
431,307.46979864716377
432,358.1283784639454
433,291.37026441810286
434,258.25245624236925
