time,cpu_index
411,129.06286398061292
412,28.66445109924024
413,122.60903022214976
414,97.08143377194713
415,102.04387202216944
416,118.02537602945753
417,150.13235706703395
418,141.3056277267113
419,208.3448240337148
420,277.0769024542595
421,279.9621251884327
422,271.12234976189205
423,223.58830633970734
424,205.40402645281966
425,183.69173511823192
426,202.03232269183894
427,292.2120822447333
428,356.649526733352
429,310.8056884831256
430,281.1051781817178
431,297.45907474432124
432,291.79658417173255
433,295.23242936502794
434,334.5758979147241
